sample,river,zone,site,habitat,Lat,Lon,oxygen,oxygen_sat,temperature,chloride,doc,ammonium,nitrate,phosphate,tn,tp,don,np,benthic_type,afdm,chl
1,Bitterroot,MC,UP,SR,46.667,-114.039,8.61,94.7,20,2.329,1.743,1.5,2.7,11,144.1,5.9,139.9,0.8,Epilithon,0.006,0.05
2,Bitterroot,MC,UP,RN,46.668,-114.0388,8.53,93.5,19.8,1.822,2.269,3.5,8.7,10.3,162.1,7.7,150,2.6,Epilithon,0.532,7.93
3,Bitterroot,MC,UP,PO,46.6688,-114.0393,7.9,86,19.5,1.922,1.986,1.5,16,10,134.2,5.6,116.7,3.9,,,
4,Bitterroot,OC,UP,FC,46.6644,-114.0535,9.02,106.2,23.5,1.446,1.758,3.7,1,10.7,110,6,105.3,1,Epilithon,3.632,38.77
5,Bitterroot,MC,UP,SL,46.6682,-114.039,8.14,89.4,19.9,1.364,1.833,1.5,18.3,10.7,486.6,42.5,466.8,4.1,Epilithon,0.521,11.35
7,Bitterroot,OC,UP,BK,46.6678,-114.0448,8.11,93.2,22.2,1.452,2.143,10.4,25.3,13.3,189.2,11.6,153.5,5.9,FBOM,4.005,24.99
9,Bitterroot,MC,UP,CZ,46.6689,-114.0394,7.75,83.9,19.2,1.881,2.287,13.8,16.3,10.3,130.4,5.1,100.3,6.4,Epilithon,0.712,9.01
11,Bitterroot,OC,UP,PS,46.6683,-114.0412,2.9,27.5,18,0.857,1.514,2,39,18,136.6,13.4,95.6,5,Epilithon,1.661,30.2
13,Bitterroot,OC,UP,OS,46.6656,-114.0375,5.96,63.06,19,2.324,1.832,1.5,1,22.7,128.5,10.1,126,0.2,FBOM,3.581,25.12
15,Bitterroot,OC,UP,PN,46.6665,-114.0446,3.73,43.5,23.1,0.866,2.847,14.3,12.3,18.7,292.2,40.1,265.5,3.2,FBOM,4.877,64.81
16,Bitterroot,MC,MD,SR,46.6909,-114.0453,7.5,80,18.4,1.358,2.256,1.5,24.7,8,187.4,11.8,161.2,7.2,Epilithon,2.354,19.47
17,Bitterroot,MC,MD,RN,46.6955,-114.0474,8.2,89.4,19.4,1.672,2.247,1.5,21.7,9.3,111,5.9,87.8,5.5,Epilithon,0.37,5.5
18,Bitterroot,MC,MD,PO,46.6973,-114.0454,8.56,94.9,20.4,1.396,2.019,6.4,38.7,10,116.5,4.7,71.4,10,,,
19,Bitterroot,OC,MD,PS,46.6825,-114.043,5.01,52.4,17.5,1.293,2.013,8.2,24.7,16,249.6,11,216.7,4.5,Epilithon,1.748,31.79
21,Bitterroot,MC,MD,SL,46.6906,-114.0459,7.66,82.3,18.8,1.594,1.877,1.5,14.7,11.7,103.9,6.5,87.7,3.1,Epilithon,0.273,5.97
23,Bitterroot,OC,MD,BK,46.6824,-114.039,9.17,106.8,23,2.043,2.073,3.9,64.7,10.7,349.5,15.1,280.9,14.2,Epilithon,1.914,11.94
25,Bitterroot,MC,MD,CZ,46.691,-114.0462,7.8,83.9,18.8,1.825,1.984,1.5,1,9,119.4,5.8,116.9,0.6,Epilithon,0.331,4.19
27,Bitterroot,OC,MD,PS,46.6951,-114.0459,2.88,27.7,13.6,1.41,1.351,5.4,16.3,16.7,78.6,8.6,56.9,2.9,FBOM,5.609,102
29,Bitterroot,OC,MD,OS,46.7007,-114.0493,7.07,85.5,24.9,5.328,3.433,13.7,17.7,25.7,272,24.7,240.7,2.7,FBOM,32.187,225.82
31,Bitterroot,OC,MD,PN,46.7004,-114.0498,2.43,29.2,24.3,6.931,9.875,25.3,15.7,56.7,770.8,163,729.8,1.6,FBOM,10.2,135.54
32,Bitterroot,MC,DW,SR,46.7189,-114.0452,8.6,97,21.2,1.602,2.26,2.2,1,8.3,157.1,18.1,153.9,0.8,Epilithon,0.305,2.52
33,Bitterroot,MC,DW,RN,46.7208,-114.0453,7.25,80.9,18.8,1.611,1.824,8,12.7,8,134.3,5.8,113.6,5.7,Epilithon,0.415,6.18
34,Bitterroot,MC,DW,PO,46.7119,-114.0464,8.57,98.2,22,1.708,2.334,1.9,1,8.7,164.9,7.4,162,0.7,,,
35,Bitterroot,OC,DW,FC,46.7292,-114.0663,10.66,127.8,24.5,3.891,3.275,4.3,30.3,12.3,244.1,16.9,209.5,6.2,Epilithon,1.267,13.53
36,Bitterroot,MC,DW,SL,46.7211,-114.0459,7.06,74.6,18,1.771,1.942,1.5,4,7.3,113.7,8,108.2,1.7,Epilithon,1.49,32.5
38,Bitterroot,OC,DW,BK,46.7189,-114.0455,3.54,39.5,20.1,1.465,2.335,21.2,16,16.7,176.9,21.4,139.7,4.9,FBOM,11.628,72.56
40,Bitterroot,OC,DW,PN,46.7202,-114.0461,3.97,46.9,23.2,1.267,9.164,11.6,24.7,20,493.5,46.9,457.3,4,FBOM,17.01,226.03
41,Bitterroot,OC,DW,PS,46.7139,-114.0495,4.6,52.8,22.6,1.422,2.405,3.3,60,13.3,309.2,26.6,245.9,10.5,Epilithon,0.158,2.87
43,Bitterroot,OC,DW,OS,46.7147,-114.0411,3.5,37.2,18.3,1.255,1.311,1.6,51,28.3,108.1,17.4,55.5,4.1,Epilithon,0.098,0.69
45,Bitterroot,OC,DW,PN,46.7207,-114.0457,5.01,55.7,20.9,1.218,6.025,1.8,34.3,24.3,414.3,65,378.2,3.3,FBOM,17.91,237.98
46,Boulder,MC,UP,SR,46.156,-111.9949,5.86,70.3,16,3.594,3.438,34.2,4.7,54,151.8,12,112.9,1.6,Epilithon,0.582,4.93
47,Boulder,MC,UP,RN,46.1568,-111.9978,6,74.8,17.6,3.311,3.767,9.3,2.3,48.7,339.1,20.5,327.5,0.5,Epilithon,4.366,87.57
48,Boulder,MC,UP,PO,46.1558,-111.9949,5.88,70.9,16.2,3.218,2.25,10.9,7,50,125.4,11.3,107.5,0.8,,,
