id,total
OTU3733,9319
OTU3762,6984
OTU3586,5315
OTU3629,4810
OTU3787,4299
OTU3628,3613
OTU3800,2956
OTU1702,2713
OTU3670,2650
OTU3709,2497
OTU2855,2459
OTU3920,2304
OTU3743,2015
OTU3601,1943
OTU3750,1936
OTU3781,1846
OTU958,1777
OTU3669,1708
OTU150,1450
OTU107,1434
OTU2769,1344
OTU4271,1332
OTU3694,1267
OTU6198,1199
OTU3490,1108
OTU3556,1106
OTU1749,1078
OTU3735,1067
OTU6318,898
OTU1557,897
OTU1816,841
OTU3365,779
OTU1690,770
OTU6070,768
OTU1889,727
OTU4307,725
OTU3688,717
OTU3753,711
OTU6143,690
OTU3713,684
OTU3042,682
OTU1285,678
OTU1888,672
OTU2268,647
OTU3112,644
OTU3744,625
OTU2090,606
OTU4214,606
OTU3542,565
OTU5782,536
OTU6660,536
OTU2798,517
OTU6371,502
OTU6062,500
OTU3050,496
OTU6652,490
OTU215,480
OTU1680,477
OTU125,476
OTU7148,475
OTU3892,474
OTU128,472
OTU2075,467
OTU7326,463
OTU4615,450
OTU1761,438
OTU4363,432
OTU2833,428
OTU6193,425
OTU2879,420
OTU3100,417
OTU1792,413
OTU6067,406
OTU6635,404
OTU4209,402
OTU3613,399
OTU4322,398
OTU6091,396
OTU3917,394
OTU2311,387
OTU1922,384
OTU3717,384
OTU1654,375
OTU2453,373
OTU1794,372
OTU1502,365
OTU2785,365
OTU6140,364
OTU7447,364
OTU3706,359
OTU6214,358
OTU3908,356
OTU2805,355
OTU5984,355
OTU4270,354
OTU123,353
OTU3543,350
OTU4355,348
OTU2637,347
OTU6252,347
OTU6288,347
OTU6183,345
OTU1558,344
OTU3400,344
OTU3292,336
OTU4217,335
OTU3683,331
OTU4317,329
OTU4765,328
OTU6264,326
OTU2265,324
OTU2706,324
OTU3911,324
OTU4526,320
OTU2975,318
OTU2264,314
OTU2845,314
OTU3801,313
OTU2292,310
OTU1569,307
OTU1984,307
OTU677,306
OTU6166,304
OTU3476,303
OTU6651,302
OTU6850,301
OTU3931,300
OTU3993,296
OTU4064,291
OTU4305,289
OTU1484,285
OTU3340,284
OTU5845,284
OTU3478,279
OTU2066,278
OTU6210,277
OTU3923,276
OTU3906,275
OTU3362,274
OTU3734,273
OTU2235,272
OTU6317,272
OTU1413,271
OTU6086,270
OTU833,269
OTU2705,268
OTU1774,261
OTU3513,260
OTU140,258
OTU3772,258
OTU2850,252
OTU6186,252
OTU2129,251
OTU2806,251
OTU4287,251
OTU3188,249
OTU5040,249
OTU3532,246
OTU4099,245
OTU6241,244
OTU6623,243
OTU1528,242
OTU3932,242
OTU6128,241
OTU3544,239
OTU7741,239
OTU3062,238
OTU3679,238
OTU127,237
OTU4039,233
OTU6363,232
OTU3486,231
OTU1486,227
OTU3381,224
OTU6579,222
OTU4316,219
OTU3555,218
OTU6182,216
OTU3531,215
OTU435,214
OTU3896,214
OTU2303,210
OTU126,209
OTU165,209
OTU3259,209
OTU3699,209
OTU4531,205
OTU2492,204
OTU3398,202
OTU2504,201
OTU4104,201
OTU6566,200
OTU3313,199
OTU3464,199
OTU1855,197
OTU5725,197
OTU2780,196
OTU4090,195
OTU2028,194
OTU1023,193
OTU3245,192
OTU1509,190
OTU3666,189
OTU4345,188
OTU7382,188
OTU3928,187
OTU7446,187
OTU1740,186
OTU3043,186
OTU5788,185
OTU1646,184
OTU2065,183
OTU6007,182
OTU3289,181
OTU1678,179
OTU3068,178
OTU3350,177
OTU6239,175
OTU1847,174
OTU3614,174
OTU2830,173
OTU6299,172
OTU7600,172
OTU6368,168
OTU3775,167
OTU6112,167
OTU1831,166
OTU3731,166
OTU4082,166
OTU6385,166
OTU6502,166
OTU2707,165
OTU3467,165
OTU3925,163
OTU3480,162
OTU4318,162
OTU2156,161
OTU4808,161
OTU2238,160
OTU3442,159
OTU6399,158
OTU3983,157
OTU4286,157
OTU2052,156
OTU4094,156
OTU1811,155
OTU3358,155
OTU7721,155
OTU2003,154
OTU3897,154
OTU6360,154
OTU383,153
OTU3927,153
OTU7008,153
OTU6662,152
OTU4249,151
OTU1797,150
OTU1707,149
OTU3520,149
OTU3413,148
OTU1856,147
OTU4033,147
OTU6508,147
OTU1624,145
OTU2856,144
OTU3504,144
OTU6406,144
OTU541,143
OTU4321,143
OTU3913,142
OTU6480,142
OTU4403,140
OTU6233,140
OTU6929,140
OTU6681,139
OTU6287,138
OTU6326,138
OTU7670,138
OTU441,137
OTU667,137
OTU1553,136
OTU6122,135
OTU6857,135
OTU966,134
OTU1992,134
OTU1011,132
OTU1655,132
OTU7037,131
OTU2109,130
OTU3839,130
OTU7653,130
OTU2205,129
OTU5765,129
OTU6102,129
OTU2080,128
OTU3797,128
OTU6295,128
OTU7428,128
OTU6427,126
OTU6657,126
OTU2290,125
OTU3010,125
OTU3497,125
OTU4388,125
OTU6697,125
OTU4063,124
OTU6120,124
OTU7337,124
OTU103,122
OTU3799,122
OTU2009,121
OTU2102,120
OTU3942,119
OTU1489,118
OTU2799,118
OTU3425,118
OTU5942,118
OTU6847,118
OTU7524,118
OTU214,117
OTU3705,117
OTU2101,116
OTU3959,116
OTU4524,115
OTU390,114
OTU3834,114
OTU4333,114
OTU6169,114
OTU1796,113
OTU2284,113
OTU1989,112
OTU4335,112
OTU2440,111
OTU3041,111
OTU7362,111
OTU1574,110
OTU1868,110
OTU3976,110
OTU5917,109
OTU529,108
OTU2715,108
OTU6377,107
OTU135,106
OTU3409,106
OTU1648,105
OTU1571,104
OTU2754,103
OTU6754,103
OTU3718,102
OTU6289,102
OTU4206,101
OTU7429,101
OTU1572,99
OTU2329,99
OTU3451,99
OTU5691,98
OTU6090,98
OTU2169,97
OTU2302,97
OTU3260,97
OTU6831,97
OTU7701,97
OTU228,96
OTU2515,96
OTU3646,96
OTU4343,96
OTU60,95
OTU1634,95
OTU3247,95
OTU4269,95
OTU4571,95
OTU3557,94
OTU6912,94
OTU700,93
OTU1660,93
OTU1815,93
OTU1733,92
OTU6097,92
OTU3761,91
OTU3774,91
OTU5379,91
OTU6343,91
OTU1402,90
OTU1472,90
OTU3878,90
OTU2721,89
OTU3707,89
OTU4430,89
OTU3751,88
OTU3907,88
OTU6063,88
OTU6146,88
OTU1848,87
OTU2843,86
OTU3794,86
OTU6731,86
OTU688,85
OTU1521,85
OTU2342,85
OTU3816,85
OTU5041,85
OTU6126,85
OTU7179,85
OTU3250,84
OTU3466,84
OTU3002,83
OTU7126,83
OTU2110,82
OTU2883,82
OTU4473,82
OTU7154,82
OTU290,81
OTU3055,81
OTU3549,81
OTU4491,81
OTU6075,81
OTU6270,81
OTU7120,81
OTU7697,81
OTU690,80
OTU2937,80
OTU5785,80
OTU6259,80
OTU3288,79
OTU6307,79
OTU7373,79
OTU1018,78
OTU2123,78
OTU2484,78
OTU3821,78
OTU3902,78
OTU5653,78
OTU5907,78
OTU6055,78
OTU2114,77
OTU3447,77
OTU3558,77
OTU4059,77
OTU4216,77
OTU5217,77
OTU7051,77
OTU7539,77
OTU687,76
OTU1880,76
OTU2808,76
OTU3796,76
OTU6073,76
OTU6217,76
OTU1045,75
OTU1895,75
OTU3903,75
OTU5743,75
OTU3904,74
OTU3934,74
OTU6379,74
OTU834,73
OTU2145,73
OTU6162,73
OTU6251,73
OTU7185,73
OTU7525,73
OTU106,72
OTU970,72
OTU1375,72
OTU1711,72
OTU4512,72
OTU6301,72
OTU681,71
OTU2140,71
OTU3189,71
OTU3304,71
OTU3311,71
OTU3492,71
OTU3673,71
OTU3690,71
OTU3708,71
OTU3895,71
OTU4811,71
OTU6131,71
OTU6168,71
OTU7637,71
OTU324,70
OTU1483,70
OTU1546,70
OTU1776,70
OTU2191,70
OTU2236,70
OTU2648,70
OTU3317,70
OTU3526,70
OTU3625,70
OTU4100,70
OTU4211,70
OTU4726,70
OTU5967,70
OTU7043,70
OTU7430,70
OTU2472,69
OTU3294,69
OTU4353,69
OTU5143,69
OTU6670,69
OTU6733,69
OTU7475,69
OTU2679,68
OTU3246,68
OTU3315,68
OTU4354,68
OTU4402,68
OTU5153,68
OTU5372,68
OTU6815,68
OTU940,67
OTU1175,67
OTU1217,67
OTU3025,67
OTU3956,67
OTU4458,67
OTU4606,67
OTU5459,67
OTU5493,67
OTU672,66
OTU1767,66
OTU1952,66
OTU2067,66
OTU2119,66
OTU2326,66
OTU3361,66
OTU4581,66
OTU5188,66
OTU6246,66
OTU6384,66
OTU121,65
OTU1954,65
OTU3935,65
OTU3986,65
OTU5593,65
OTU6153,65
OTU6567,65
OTU974,64
OTU1991,64
OTU3223,64
OTU3698,64
OTU3711,64
OTU3784,64
OTU5283,64
OTU6040,64
OTU6130,64
OTU6826,64
OTU7676,64
OTU1531,63
OTU3495,63
OTU4244,63
OTU6522,63
OTU6526,63
OTU6927,63
OTU1775,62
OTU1983,62
OTU3482,62
OTU4330,62
OTU4611,62
OTU6108,62
OTU6127,62
OTU6294,62
OTU6511,62
OTU7760,62
OTU1576,61
OTU2847,61
OTU3297,61
OTU3905,61
OTU4176,61
OTU4802,61
OTU6456,61
OTU129,60
OTU572,60
OTU793,60
OTU1894,60
OTU2487,60
OTU3824,60
OTU3910,60
OTU7083,60
OTU552,59
OTU1140,59
OTU1545,59
OTU1820,59
OTU2716,59
OTU3593,59
OTU3634,59
OTU3667,59
OTU4066,59
OTU4085,59
OTU6479,59
OTU6512,59
OTU7516,59
OTU547,58
OTU1479,58
OTU2517,58
OTU2995,58
OTU5806,58
OTU6029,58
OTU6227,58
OTU6917,58
OTU6980,58
OTU130,57
OTU455,57
OTU1758,57
OTU6655,57
OTU6698,57
OTU7321,57
OTU1504,56
OTU3256,56
OTU6078,56
OTU6403,56
OTU6495,56
OTU7399,56
OTU7528,56
OTU7530,56
OTU2013,55
OTU2103,55
OTU2328,55
OTU2407,55
OTU2660,55
OTU3290,55
OTU3379,55
OTU3540,55
OTU5507,55
OTU5703,55
OTU7319,55
OTU767,54
OTU1471,54
OTU1573,54
OTU2448,54
OTU2653,54
OTU2880,54
OTU3450,54
OTU3865,54
OTU3965,54
OTU4091,54
OTU4671,54
OTU5042,54
OTU5171,54
OTU6238,54
OTU6675,54
OTU7687,54
OTU4,53
OTU132,53
OTU826,53
OTU1407,53
OTU1429,53
OTU1676,53
OTU2652,53
OTU3484,53
OTU3515,53
OTU3572,53
OTU4245,53
OTU4492,53
OTU5767,53
OTU5794,53
OTU5898,53
OTU6463,53
OTU6704,53
OTU6984,53
OTU7746,53
OTU1673,52
OTU2147,52
OTU2310,52
OTU2676,52
OTU3426,52
OTU3819,52
OTU5754,52
OTU6065,52
OTU6071,52
OTU6087,52
OTU6863,52
OTU7735,52
OTU1783,51
OTU2239,51
OTU2755,51
OTU2788,51
OTU2878,51
OTU2907,51
OTU3483,51
OTU6020,51
OTU6136,51
OTU6157,51
OTU6171,51
OTU7038,51
OTU56,50
OTU609,50
OTU766,50
OTU947,50
OTU1017,50
OTU1580,50
OTU1692,50
OTU1724,50
OTU3388,50
OTU3591,50
OTU5146,50
OTU6510,50
OTU7335,50
